ts,o,h,l,c,v
1759440660,6.309886464248411e-05,6.309886464248411e-05,6.223554617972143e-05,6.223554617972143e-05,87.91066892659566
1759440600,6.488544945477155e-05,6.488544945477155e-05,6.309886464248411e-05,6.309886464248411e-05,127.53527093590446
1759440540,6.530922961223479e-05,6.530922961223479e-05,6.488544945477155e-05,6.488544945477155e-05,51.64726976173188
1759440480,6.675303825593758e-05,6.675303825593758e-05,6.470057661134747e-05,6.530922961223479e-05,246.05724131903537
1759440420,7.29582486846148e-05,7.29582486846148e-05,6.675303825593758e-05,6.675303825593758e-05,582.5346791984318
1759440300,7.330875105357813e-05,7.344692577475948e-05,7.29582486846148e-05,7.29582486846148e-05,45.326149096800776
1759440240,7.547725150762886e-05,7.586839905561781e-05,7.330875105357813e-05,7.330875105357813e-05,199.96850330237947
1759440180,7.703191754204877e-05,8.067960217520559e-05,7.499398922181428e-05,7.547725150762886e-05,1906.567761646306
1759440120,8.190555057639007e-05,8.695937356696526e-05,7.703191754204877e-05,7.703191754204877e-05,9015.78617172711
1759440060,8.240260550758677e-05,8.706974607866326e-05,7.983132025096389e-05,8.190555057639007e-05,9108.771602922287
1759440000,8.95022724124822e-05,9.665845783615964e-05,8.072852279482713e-05,8.240260550758677e-05,9521.44712844538
1759439940,9.542522907387848e-05,9.945010214521559e-05,8.91010770353784e-05,8.95022724124822e-05,8898.00747305046
1759439880,8.874595403787061e-05,9.947792769134027e-05,8.874595403787061e-05,9.542522907387848e-05,9739.466156680308
1759439820,8.809038654132859e-05,9.697841207259102e-05,8.787207969933986e-05,8.874595403787061e-05,9706.25082440852
1759439760,9.822849006550526e-05,9.992944482224452e-05,8.77022186021763e-05,8.809038654132859e-05,8988.739304135355
1759439700,9.504127865052057e-05,0.00010256323700075653,9.456357004407543e-05,9.822849006550526e-05,9246.571992098545
1759439640,9.374320017287026e-05,0.000105762117745652,9.352165711146831e-05,9.504127865052057e-05,10402.8240591427
1759439580,9.680959044936181e-05,0.00010162536875752357,8.921901091530418e-05,9.374320017287026e-05,8700.581684387122
1759439520,9.250163952604181e-05,9.831757518069288e-05,8.85371919998428e-05,9.680959044936181e-05,8765.447710413597
1759439460,8.591699190115202e-05,9.675769540436091e-05,8.41477781478869e-05,9.250163952604181e-05,10109.90552160908
1759439400,7.967912414151923e-05,9.199346037367348e-05,7.967912414151923e-05,8.591699190115202e-05,10574.259533650677
1759439340,8.527282773261767e-05,8.818040390459572e-05,7.896450833988117e-05,7.967912414151923e-05,9292.653744629366
1759439280,8.494372326723903e-05,8.861391509934984e-05,7.896001620232928e-05,8.527282773261767e-05,10001.159139846057
1759439220,7.65603791518029e-05,8.494372326723903e-05,7.623479894944233e-05,8.494372326723903e-05,9625.104395015058
1759439160,8.401887268062231e-05,8.559816053741222e-05,7.469248202113755e-05,7.65603791518029e-05,9107.599721114593
1759439100,8.342352078922058e-05,8.854166318408538e-05,7.90894297921881e-05,8.401887268062231e-05,9480.758359679534
1759439040,7.943268580229957e-05,8.67646917705412e-05,7.87178593352225e-05,8.342352078922058e-05,9194.487254641383
1759438980,8.220319450035869e-05,9.222852267692812e-05,7.943268580229957e-05,7.943268580229957e-05,10022.219648958582
1759438920,8.015437536351464e-05,8.716587280125214e-05,7.373616925368854e-05,8.220319450035869e-05,9384.427869518116
1759438860,6.911889777898966e-05,8.20324614832173e-05,6.772533576629069e-05,8.015437536351464e-05,10084.126153457162
1759438800,7.581801940885495e-05,7.808743952359127e-05,6.730060143506878e-05,6.911889777898966e-05,9958.67297442875
1759438740,7.735161038886779e-05,8.200562203661804e-05,7.093489588474739e-05,7.581801940885495e-05,8926.554922587207
1759438680,7.725525847091304e-05,8.505803120970734e-05,7.442612081097187e-05,7.735161038886779e-05,9290.66569747698
1759438620,8.260010269498968e-05,8.701206512721177e-05,7.725525847091304e-05,7.725525847091304e-05,9653.137131614785
1759438560,8.506191694864233e-05,8.642170796332602e-05,7.769736829633599e-05,8.260010269498968e-05,8506.249953910714
1759438500,7.595847378623075e-05,8.50823691932741e-05,7.595847378623075e-05,8.506191694864233e-05,10170.81892606867
1759438440,7.475442947988296e-05,8.304075966574833e-05,7.475442947988296e-05,7.595847378623075e-05,9427.516730553114
1759438380,7.584250793651722e-05,8.399293506898842e-05,7.46295736758769e-05,7.475442947988296e-05,9030.290544792228
1759438320,7.89956187756842e-05,8.370172086048502e-05,7.437956308867904e-05,7.584250793651722e-05,10106.930876137361
1759438260,7.504982735701912e-05,8.338667843848851e-05,7.491844797128823e-05,7.89956187756842e-05,9668.273524224935
1759438200,7.432513936823713e-05,8.21172808334932e-05,7.432513936823713e-05,7.504982735701912e-05,8924.396233579539
1759438140,7.431486446140691e-05,8.187833217461472e-05,7.431486446140691e-05,7.432513936823713e-05,9371.506148310595
1759438080,7.634767276628964e-05,8.19930259047758e-05,7.341266842645334e-05,7.431486446140691e-05,10246.234541788235
1759438020,7.798145654458966e-05,8.14916387032558e-05,7.351082633509211e-05,7.634767276628964e-05,8871.738336951885
1759437960,7.799156495919417e-05,8.286653523635821e-05,7.49520148847289e-05,7.798145654458966e-05,9696.902563751879
